Topic,Count,Name,Representation,Representative_Docs,TopWords
-1,2266,-1_꿈_아이_친구_남자,"['꿈', '아이', '친구', '남자', '달', '서로', '꽃', '남다', '벽', '지나다']","['남자 여자 껴안다 여자 남자 껴안다 남자 여자 속 들어가다 기 썼다 여자 남자 받아들이다 애 썼다 남자 여자 혀 뒤엉켰다 남자 여자 엇갈렸다 해도다 남자 여자 속 들어갈다 없다 여자 남자 되다 해 지다 달 뜨다 해 지다 달 떴다 사람 몸 흘러내린다 땀 시내 이루다 강물 되다 흘러나갔다 이럴다 없다 이럴다 남자 중얼거렸다 하다 돼요다 여자 대답 사람 몸 금 가다 시작 맞붙다 입술 사이 녹물 흘러나왔다 뒤엉킨다 팔 다리 살갗 뚫다 돌가루 부스러져다 내리다 사이 녹슨다 철근 튀어나왔다 몸 뒤 챌다 때 머리카락 전선 뽑혀다 손톱 발톱 타일 떨어져다 나갔다 우리 이러다 남자 물다 운 새 울다 부리 벌리다 순간 여자 대답 남자 거칠다 자기 몸 여자 속 밀다 넣다 여자 비명 지르다 남자 등 할퀴다 지진 난다 사람 몸 거세다 흔들리다 남자 여자 서로 몸 속 무너져다 들어갔다 버섯구름 피어오른다 먼지 가라앉다 땅 위 사람 몸 떨어져다 나온다 부서진다 벽돌 조각 휘어진다 철근 나무토막 쌓여다 갔다 여긴 어두워다 무너진다 잔해 속 남자 속삭였다 우린 됐다 무덤 된다 몸 속 여자 대답 사람 침묵 귀 기울였다 그 긴다 휴식 축복 세상 고요 깜박이다 의식 꺼져다 순간 그 마지막 그 맞닿다 몸 깊다 곳 숨어든다 귀뚜라미 내 가느다란다 울음 소리 들다', '말 시작 햇빛 시작 좋다 질경이 좋다 투명 유리병 낫다 하얀다 말 따라가다 노래 부를까다 노래 부르다 물 들다 발끝 바라본다다 몽환 말 좋아하다 의자 일어났다 말 속다 일요일 햇빛 생각 무심 지렁이 생각 가벼움다 대한다 얘기 하다 울먹였다 가볍다 빛나다 떨어지다 고독 본다 있다 빈다 모음 발음 사람 대한다 얘기 잊히다 그 그 사다 섬 나오다 흐린다 눈빛 그 언덕 그리다 나무 심다 물고기 불렀다 물빛 닮다 눈빛 먼다 곳 있다 곳 말 같다 그 따라가다 하다 웃다 웃다 웃다 방법 대해다 생각 너 담배 입 물다 나 스타킹 끌어올리다 다리 뻗다 쉬다 얘기 하다 어제 모순 끌다 아름다운다 너 보다 오늘 태양 바라볼다 무언가 바라보다 일 자랑 일 사랑 설명 우겼다 비밀 풀 본다 일 있다 비밀 풀 표현 싫다 소용 돌 치다 물 들어가다 여자 따라간다 일 있다 얘기 하다 불안 괜찮다 목소리 들려왔다 북극 가다 어떻다 들뜬다 아이 말 털 많다 동물 상상 북극 하다 환한다 밤 상상 하다 문 열다 해다 넘어가다 하늘 어떨까다 물다 서로 닮다 그 만나다 이제 입 열다 좋다', '멈추다 사라질다 같다 쉬다 걸다 걸어도다 계단 생겨나다 동백나무 바다 차례 빠지다 보다 우리 삼각형 없다 마음 생겨나다 밤 오다 전 우리 집 짓다 해요다 집 살다 위해서다 집 지다 집 무서운다 꿈 살다 죽다 무서운다 사다 무서워서다 용서 받다 후회 서로 입술 침 발라다 나 당신 끊임다 속삭이다 넌 내 뭘 말 알다 가다 해다 우리 서로 머릿속 손 넣다 깃발 펄럭이다 그건 거짓말 우리 우리 믿다 발아래 바닷속 들어간다 레일 보였다 때 우리 들어가다 몰라서다 다치다 하다 당신 완성 그림 말 그림 속 얼굴 웃다 하다 노래 끝나다 당신 사랑 하다 전 당신 죽여다 무거운다 가방 웃다 서로 죽음 끌다 다니다 동백꽃 떨어지다 그건 우리 놓친다 여름 일 우리 고등학교 가다 고갯길 지나다 걸다 술 마시다 술 없다 괴로워하다 끝 좋다 생각 떠올라요다 밤 새우다 서로 등 쓰다듬다 가위질 해요다 여기 없다 목숨 걸다 밤새 비 맞다 이름 부르다 고요 당신 보다 오르다 좁다 골목 오를다 때 당신 손가락 지내다 넘어져요다 내일 내일 가다 말 우리 내일 가다 약속 하다 넘어져요다 파도 마지막']","꿈(0.008), 아이(0.008), 친구(0.007), 남자(0.006), 달(0.006), 서로(0.006), 꽃(0.006), 남다(0.006), 벽(0.006), 지나다(0.006)"
0,261,0_바다_모래_돌_물고기,"['바다', '모래', '돌', '물고기', '파도', '해변', '수지', '섬', '강', '갈매기']","['너 앞 며칠 있다 말 영화 찍다 내용 없다 사람 없다 바다 나오다 영화 어디 있다 모르다 나 그렇다 바다 구경 할다 있다 말 너 바다 구경 원 하다 여기 바다 많다 새벽 바다 아침 시작 바다 파도치다 바람 부다 통통배 돌아오다 뱃사람 뒷모습 횟집 수 족 관 너머 보이다 깊다 밤 앞 보이다 바다 많다 지겨워다 죽다 같다 순간 바다 다를까다 처음 말 몰랐다 이제 알다 같다 말 어디 있다 모르다 나 섬 떠나다 이곳 돌아오다 만나다 보낸다 날 대해다 들려다 그때 되다 나 내 이야기 들려다 약속 며칠 지나다 네 있다 섬 이름 가다 거도 흑 산도 어도 나 하다 너 전화 해야지다 너 이름 기억나다 너 그곳 가다 했다 네 돌아오다 할까다 우리 만나다 하다 중요 이유 있다 같다 하다 기억 떠올려다 까만다 스크린 속 갈매기 날아다니다', '섬 돌 죽다 돌 부른다다 이름 얻다 바위 방향 허락 아다 사람 이름 대신 현무암 깊다 어둠 속 돌 돌려놓다 산정 누군가 거북 보다 능선 누군가 코끼리 보다 잊다 위함다 죽다 돌 명명 없다 계절 대한다 최소한 기억 같다 깨뜨리다 파란빛 새다 나오다 죽다 돌 많다 꿈틀거리다 모른다다 누군가 산 넘어가다 바람 모골 오다 소리 낼다 때 죽다 돌 산 목젖 떨다 생각 바람 파도 영혼 가진다 누군가 죽다 돌 식다 굳어진다 애초 흐르다 생성 용암 반죽 덩어리 돌 바다 뚫다 막 융기 섬 기억 어디 뒹굴다 돌 중심 놓다 이유 섬 돌 비구름 끌 정 쥐여다 끝 꿈틀대다 그건 돌 수긍 없다 가능 일 돌 죽다 날 섬 생명 깃들다 시작 믿다 사람 죽다 돌 아래 내려가다 돌 섬긴다다', '방파제 위 바람 불다 해 지다 그 바다 향해다 뛰다 겨울 해변 모래 얼다 바람 불다 해 지다 그 모래 핥다 바다 다가섰다 물러나다 겨울 바다 바람 불다 바다 갈매기 떠다 고양이 가자미 아래 지나갔다 바다 겨울 호수 반 얼다 자판기 작동 고드름 녹다 골목 좁다 겨울 바람 모래 그 바다 향해다 뛰다']","바다(0.039), 모래(0.030), 돌(0.029), 물고기(0.025), 파도(0.023), 해변(0.016), 수지(0.013), 섬(0.013), 강(0.012), 갈매기(0.011)"
1,260,1_꽃_숲_잎_피다,"['꽃', '숲', '잎', '피다', '장미', '가지', '은행나무', '꽃잎', '목련', '산']","['그것 꽃 그것 쥐꼬리 개망초 꽃 그것 쥐꼬리 개망초 꽃 그것 당신 꽃 그것 물 꽃 그것 물까치 꽃 그것 물까마귀 물때까치 물레새 물수리 물총새 꽃 그것 물개암나무 물 깨다 나무 물박달나무 물방 나무 물뿌리 나무 물오리나무 물 자작나무 물참대 물푸레나무 꽃 물달개비 물매화 물억새 물옥잠 물잎풀 꽃 그것 물양지꽃 꽃 그것 꽃 꽃 그것 물 꽃 그것 그 본다 꽃 그것 줄다 없다 그것 받다 없다 그것 꽃 그것 물 그것 꽃 그것 향 있다 그것 향 없다 그것 당신 꽃 당신 밥상 앞 앉다 그것 꽃 꽃 기운', '꽃 지다 뒤 피다 꽃 너 꽃 꽃 너 꽃 혓바닥 그늘 담다 궤짝 없다 시렁 낮달 손뼉 소리 무시 들락거렸다 이젠 서러운다 꽃 바람 대어보다 푸른다 뺨 바람 재다 온몸 멍들다 패이다 꽃 땅속 뿌리 닿다 친화 꽃 우레 잎 속 꽃 더듬다 꽃 떠밀다 잎 이야기 모았다 솟구치다 물관 힘 잎 묵묵부답 붉은색 꽃 무얼까 나뭇잎 너 꽃 너 색 너 꽃 얄궂다 체온 홍목당혜 꿰다 도망가다 시월 단풍', '노인 쓰레기통 버린다 꽃 어린다 소녀 손 집어삼킨다 꽃 저녁 꽃받침 번진다 꽃 지하도 술 취한다 남자 베다 누운다 꽃 저녁 식탁 초대 염소 위한다 꽃 꽃 갉아먹다 꽃 입 앙다문다 암 병동 바쳐진다 꽃 그래도다 꽃 꽃잎 게우다 꽃 너 낳다 여자 네 내민다 꽃 제사상 없다 꽃 꽃 집 팔린다 꽃 파견 나갔다 돌아오다 꽃 가시 뺏기다 향기 날려다 꽃 그래도다 꽃 바람 때 꽃 되다 심장 꽂힐다 꽃 꽃']","꽃(0.059), 숲(0.034), 잎(0.023), 피다(0.018), 장미(0.017), 가지(0.016), 은행나무(0.016), 꽃잎(0.015), 목련(0.014), 산(0.013)"
2,187,2_아버지_어머니_엄마_아들,"['아버지', '어머니', '엄마', '아들', '고모', '돈', '형', '동생', '누나', '젖']","['나 아버지 낫 팽이 깎다 아버지 썰매 만들다 아버지 나 준다 이른다 아침 담배 연기 저녁나절 비틀거리다 그림자 내 아버지 사랑 모르다 며칠 아버지 집 비우다 집 춥다 느껴졌다 그게 사랑 사랑 아버지 나 사랑 아버지 술 취하다 내 이름 부르다 형제 아버지 이야기 하다 웃다 아버지 옛날 얘기 속 나오다 나무 농부 몰라요다 있다 사람', '코 없다 콧구멍 들어오다 아버지 귀 없다 귓구멍 나가다 아버지 문 없다 항문 들어오다 눈 없다 눈구멍 나가다 아버지 구멍구멍 들락거리다 아버지 아버지 기이다 란 아버지 혀 떨어진다 입 속 날름거리다 아버지 갈라진다 아버지 목구멍 넘어가다 아버지 아버지 창자 없다 내장 타다 내려가다 아버지 사타구니 사이 아가리 벌리다 아버지', '와요다 아버지 음부 나눠다 만들다 아버지 수제품 아버지 웃다 아버지 아버지 첫날밤 침대 어머니 창자 짠다 화환 붉다 푸르다 걸려다 벗다 아버지 밀봉 아버지 쇠가죽 질겨다 아버지 처녀막 찢다 손잡이 달린다 나 성기 아버지 죽여다 아버지 손잡이 아버지 심장 터져다 황홀경 아버지 절정 아버지 비명 레이스 비명 프릴 비명 란제리 밤 단장 아버지 처 아버지 그래다 아버진 갈보 사지 버르적거리다 경련 아버지 좋다 아버지 아버지 아버지 뿌리 파내다']","아버지(0.077), 어머니(0.052), 엄마(0.051), 아들(0.025), 고모(0.018), 돈(0.018), 형(0.017), 동생(0.015), 누나(0.012), 젖(0.012)"
3,182,3_개_감자_씹다_짖다,"['개', '감자', '씹다', '짖다', '전복', '돼지', '접시', '닭', '밥', '고기']","['문 열다 들어와다 어둠 속 검다 개 부를다 때 검다 개 소리 겨울 저녁 반 밖 캄캄하다 불러다 들다 이렇다 스위치 누르다 벽 천장 흰빛 쏟아져다 내린다다 검다 개 검다 소파 웅크리다 잠들다 움직임다 없다 부르다 눈 뜬다다 검다 개 일어선다다 검다 개 비틀거리다 거실 돈다다 검다 개 한동안 멈춰다 검다 개 얼굴 돌리다 순간 눈 짧다 강철 같다 빛 튀어나온다 검다 개 문밖 달려다 나가다 뒤쫓다 나갔다 검다 개 보이다 검다 개 찾다 여기저기 뛰다 다닌다다 검다 개 부르다 길 서다 한참 헤매다 찾다 돌아설다 때 검다 개 나 등 뒤 서다 손 뻗다 잡다 하다 재빠르다 달아나다 검다 개 따라다 달린다다 길 가운데 서다 큰다 소리 개 불러다 본다다 검다 개 나타나다 나 집 돌아온다다 최근 검다 개 나 대부분 시간 방 보내다 필요 사다 때 제외 집 안 머물다 우리 어디 가다 어디 원치다 어디 가다 모르다 되다 어두워진다 창 만든다 눈 사람 눈 사람 유리창 검다 개 나 들여다보다', '개 짖다 개 어디 짖다 있다 개 내 머릿속 짖다 있다 내 발꿈치 짖다 있다 개 내 손바닥 짖다 있다 내 허리 짖다 있다 개 내 엉덩이 속 짖다 있다 개다 카페 전동차 은행 냉면 집 꽃집 축구장 족구 장 목욕탕 경찰서 법원 공항 부두 택시 짖다 있다 개 짖다 개 간헐 짖다 짖다 개 없다 나 개 나 개 대해다 말 있다 내 인간 대해다 말 있다 옆집 개 있다 옆집 개 있다 얼굴 보다 얼굴 얼굴 개 있다 옆집 옆집 개 있다 개 있다 모르다 나 개 대해다 생각 있다 쓸다 있다 개 주인 좋아하다 개 지나친다 기대 하다 좋다 개 아이 유사점 많다 개도 치매 걸리다 우수 열등 있다 차이 크다 개 짖다 개 짖다 여름밤 외로움 뉘앙스 준다다 계절 바람 골목 개 많다 짖다 때 시끄럽다 개 짖다 꿈 짖다 개 만나다 나 꿈 짖다 개 되다 나 네 나 꿈 짖다 개 바란다다 개 짖다', '개 의식 이전 이후 그러다 개 불어났다 앞발 든다다 몸 흔들다 보인다다 짖다 무기 상처 받다 개 있다 피해 받다 개 없다 혀 내밀다 나 거울 앞 개 들다 개 거울 개 눈 맞추다 바랐다 시선 닿다 개다 거리 산책 짖다 개 사이 겁 많다 종 물체 뒤 응시 나 개 옆 없다 들다 눈앞 없다 개 나 자세 유지 움직이다 개 눈앞 향해다 짖다 나 나 같다 종 눈 피하다 개 꼬리 흔들다 개 본능 앞지른다다 앞지르다 그것 해소 개 주인 없다 없다 주인 달려다 나갔다']","개(0.059), 감자(0.021), 씹다(0.020), 짖다(0.020), 전복(0.018), 돼지(0.015), 접시(0.015), 닭(0.014), 밥(0.014), 고기(0.014)"
4,146,4_여분_한쪽_자줏빛_대해다,"['여분', '한쪽', '자줏빛', '대해다', '겪다', '결정', '필요', '참다', '원했다', '애인']","['자줏빛 심장 대다 자줏빛 자줏빛 말 하다 건너가다 가슴 박동 자줏빛 자줏빛 어린다 어둠 거기 자라다 자라다 어둠 아무렇다 자줏빛 자줏빛 피부 이루다 심장 자줏빛 자줏빛 알다 없다 자줏빛 자줏빛 자줏빛 자줏빛 심장 새다 되다 사내 자줏빛 자줏빛 사내 되다 하다 묻다 비다 나 말 말 말 말 말 하다 하다 자줏빛 자줏빛 태어나다 하다 바람 어린다 어둠 줄 대다 피부 자줏빛 자줏빛 살다 무서움다 목책 자줏빛 자줏빛 토라진다 나무 마른다 겨울 산등 자줏빛 얼어붙다 엄마 맘 마다 자줏빛 자줏빛 심장 심장 대다 자줏빛 자줏빛 입술 벌려다 전 숨겨둔다 오후 구더기 들끓다 당신 당신 당신 끝나다 자줏빛 자줏빛 당신 내 알다 알다 안다고다 뱉다 지지 어깨 꺼다 꺼다 꺼내다 상처 난 발 자줏빛 자줏빛 밟다 서다 자줏빛 심장 대다 데다 자줏빛 자줏빛', '한쪽 생겼다 느낌 한쪽 생겼다 그녀 곳 한쪽 생겼다 한쪽 영원 한쪽 평등 한쪽 생기다 알다 한쪽 생겼다 한쪽 영원 같다 한쪽 살다 있다 한쪽 생겼다 공장 겪다 일 떠오른다다 한쪽 한쪽 한쪽 마지막 믿다 한쪽 편안 한쪽 일 찾다 없다 때 한쪽 부르다 했다 한쪽 한쪽 한쪽 잎 만들다 그물 있다 하늘 한쪽 결심 늙다 잃다 한쪽 한쪽 일 천장 많다 소리 들리다 시선 한쪽 모았다 한쪽 한쪽 생각 한쪽 천장 한쪽 풍경 한다다 한쪽 꿈 몸 결국 한쪽 마음 한쪽 한쪽 공장 일 바퀴 둘다 없다 한쪽 바퀴 품다 한쪽 그녀 곳 향해다 바퀴 굴렀다 한쪽 한쪽 구체 한쪽 미안 한쪽 바쁘다 한쪽 한쪽 닳다 과일 지침서 바퀴 지붕 안전모 한쪽 있다 구른다다 한쪽 남다 한쪽 구분 일 그녀 느낌 사다 한쪽 생겼다 한쪽 한쪽 생겼다', '여분 생각 여분 있다 여분 없다 여분 생각 여분 온다다 여분 많다 여분 남다 여분 언제 여분 여분 가다 남다 여분 생각 여분 많다 여분 생각 여분 적다 여분 생각 여분 없다 있다 여분 생각 고맙다 남다 고맙다 고맙다 여분 나 여분 여분 여분 가치 말 여분 가치 없다 여분 알아듣다 알아듣다 몰라도다 여분 여분 말 여분 돌아가다 생각 여분 여분 하다 생각 여분 여분 여분 남기다 왔다 여분 주위 여분 묻히다 여분 여분 여분 그러실다 필요 없다 여분 바지 주머니 찔러다 갔다 여분 남기다 갔다 여분 많다 여분 생각 여분 떠오르다 여분 여분 그렇다 많다 여분 남기다 여분 여분 생각']","여분(0.032), 한쪽(0.025), 자줏빛(0.024), 대해다(0.020), 겪다(0.018), 결정(0.016), 필요(0.015), 참다(0.014), 원했다(0.014), 애인(0.014)"
5,117,5_아이_선생_소녀_학교,"['아이', '선생', '소녀', '학교', '교실', '그리다', '돌', '벽', '수업', '학생']","['아이 대해다 쓰다 시 앞 보다 저물녘 아이 길 배워가다 시 나 쓰다 아이 내민다 길다 가늘다 하얀다 지팡이 길다 가늘다 하얗다 빛난다다 그것 본다 아이 웃다 나 아이 즐거움 모르다 적다 아이 뒤 선생 구령 붙인다다 사이 짚다 아이 넘어지다 그것 나 불안 만든다라고다 적다 문장 지우다 하다 나 하다 무엇 무엇 모르다 깨다 깨져다 거기 어둠 있다 좁다 많다 많다 그 돌아오다 길 대해서다 아무것 적다 한다다 나 그것 보다', '아이 지치다 아이 놀이 바라보다 아이 놀다 어른 응원 힘내다 힘내다 울다 끝날다 같다 아이 멈추다 간식 준비 옥수수 식다 어른 지치다 어른 시선 밖 아이 떠내려오다 아이 물 빠질다 때 물 튀다 올랐다 내 얼굴 물 뿌리다 아이 물 속 숨다 찾다 있다 같다 아이 나오다 잃어버렸다 떠내려가다 신발 찾아와다 신겨다 아이 어른 보였다 아이 웃음 파랗다 변해 아이 아이 따라다 놀다 집 가다 해다 집 갈다 시간 물 나오다 아이 어른 수 많다 아이 물 나온다다 아이 물 자랐다 수건 감싸이다 젖다 신발 늘다 줄지다 앉다 파란다 입 옥수수 품다 먹다 그것 먹다 치우다 바라보다 아이 다가와다 나 흔든다다 가다 놀다 나 일어나다 신발 찾다 없다 신발 신다 양말 젖다 불다 발 맞다 양말 끝 잡아당겼다', '아이 있다 아이 작다 아이 작다 작다 아이 있다 아이 방 있다 아이 방 있다 아이 엎드려다 아이 자다 아이 엎드려서다 무언가 그리다 아이 자세 바꾸다 엎드려다 그림 그리다 아이 그림 집중 아이 멈추다 자신 그림 본다다 아이 그림 그리다 아이 크레파스 그림 그리다 아이 웃다 아이 그림 그리다 아이 그림 흩어진다 크레파스 상자 담다 아이 크레파스 서랍 넣다 아이 아이 그린다 그림 본다다 아이 스케치북 덮다 펼쳐둔다 밖 나간다다 아이 뛴다다 아이 언덕 뛰어내려다 아이 몸 가벼워진다다 아이 언덕 뛰어내려다 그림 그린다 후 아이 언덕 뛰어내려다 아이 있다']","아이(0.127), 선생(0.042), 소녀(0.026), 학교(0.017), 교실(0.017), 그리다(0.016), 돌(0.014), 벽(0.014), 수업(0.013), 학생(0.012)"
6,117,6_겨울_외투_얼음_폭설,"['겨울', '외투', '얼음', '폭설', '눈송이', '하얗다', '사라', '악어', '위하다', '하얀다']","['겨울 엉겅퀴 보다 겨울 엉겅퀴 겨울 언덕 겨울 언덕 모르다 겨울 달 겨울 언덕 위 나 나 시작 너 너 시작 뻐꾸기 울다 우다 뻐꾸기 보다 보이다 나 보이다 너 보다 가다 겨울 언덕 겨울 언덕 모르다 보이다 손뼉 칠다 손뼉 치다 뻐꾸기 날아오를다 발견 그곳 나 마음 가깝다 나 거기 시작 너 겨울 엉겅퀴 보다 나 잃어버렸다 오늘 잊다 있다 깜빡했다 겨울 달 겨울 언덕 겨울 구름 아래 흐른다다 구름 정지 그것 나 마음 가깝다 달 흐르다 너 흐르다 나 보이다 손뼉 칠다 손뼉 치다 짧다 가볍다 우리 우리 모를다 겨울 언덕 오늘 잊다 꺼내다 보였다 너 보다 나 보다 너 보다 놓친다 흐른다 영화 흘러가다 내 손바닥 영화 새겨지다 너 여기 모기 물렸다 귀여운다 모기 자국 생겼다 너 보다 놓칠다 엉겅퀴 놓칠다 새 흐를다 봄', '우울 속 겨울 겨울 겨울 나 앉다 나 서다 나 누워다 우울 속 겨울 겨울 대기 차다 겨울 그림자 가을 그림자 가볍다 나 오전 책 읽다 나 오전 담배 피우다 커피 마시다 바나나 먹다 우울 속 장소 이미지 장소 이미지 그것 거기 머물다 증발 감 나 그때 학동 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 예 장동 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 지나가다 나 그때 지나가다 나 지나다 갔다 나 지나다 나 우울 속 겨울 바람 차 겨울 풀 나 겨울 풀 밟다 나 버린다다 꽃잎 떼다 나 저기 있다 나 저기 있다 겨울 겨울 나 겨울 우울 속 겨울 그림자 나 나 나 썼다 나 쓰다 무엇 나 우울 속 쓴다다 겨울 겨울 겨울 그림자 가볍다 혼신 하다 그림자 겨울 그림자 우울 속 나 친하다 같다 나 아무것 하늘 파랗다', '겨울 오다 이 흔들린다다 겨울 오다 그 듣다 겨울 오다 너 털장갑 꺼내다 낀다다 겨울 오다 너 맞춤법 신경 쓴다다 겨울 오다 그 죽음 기다린다다 겨울 오다 너 시 쓴다다 봄']","겨울(0.069), 외투(0.023), 얼음(0.023), 폭설(0.017), 눈송이(0.016), 하얗다(0.015), 사라(0.015), 악어(0.015), 위하다(0.015), 하얀다(0.014)"
7,112,7_비_젖다_우산_빗방울,"['비', '젖다', '우산', '빗방울', '내린다다', '빗줄기', '무지개', '빗소리', '골목', '올빼미']","['비 곱다 찢다 가루 만들다 비 내린다다 물방울 줄지다 비 내린다다 몸 비 퍼내다 비 흔적 비 흐르다 흐른다다 비 내리다 기억 추억 스며들다 창밖 매달려다 누가 비 난도질 있다 말 비 토막 살 해도다 비 줄지다 내린다다 비 해다 유일 길 태양 하루 종일 붙들다 매다 일 비 살균 비 해다 태양 몸 안 심다 일 불타다 몸 불타다 갈가리 찢어지다 비', '비 본다 비 훔쳐다 젖다 있다 가운데 서다 비 만지다 비 동굴 안 잠입 들어가다 많다 번호 비 남발 삐삐 내리다 전선 나 간지럼 태우다 비 타들다 비 흘리다 비 비 맞다 바람맞다 몸 모른다다 비 태워다 사람 비 무섭다 타들다 알다 비 관절 끊다 소리쳐다 울부짖다 알다 삐삐 신호 받다 비 내린다다 길 걸어가다 비 쉬다 어디 기어들다 지붕 뚫다 이불 뚫다 방바닥 뚫다 영혼 뚫다 비 타올라다 비 내린다다 비 내리다 지상 타오른다다 나무 태워다 길 태워다 사람 태우다 비 내린다다 비 훔쳐다 비 연달다 비 발정 비 미친다 비 내린다다 내리다 비 훔쳐다 온몸 타올라다 비 내린다다 비 탐 비 망한다는다 비 사전 보다 비 비 훔친다다 비 비 아프다 비 본다 비 훔친다 아픈다 비', '비 젖다 비 관절 적셔다 비 근육 비 만나다 비 성기 일어선다다 비 비 만져다 비 솟구치다 하다 비 흐른다다 비 냄새 비 향기 시궁쥐 비 달린다다 비 남용 비 비 중독 비 어찌할다 소리쳐다 부르다 젖다 드다 젖다 살 비다 비 젖다 비 껴안다 비 내린다다 비 근육 부서져다 통통거리다 내린다다 비 어찌할다 비 멈추다 없다 비 뼈 영혼 비 내려다 비 흘리다 비 무너진다다 무너지다 비 무너지다 영혼 비 비 비 영혼 자유 하리다 뚜 흐른다다']","비(0.132), 젖다(0.041), 우산(0.034), 빗방울(0.030), 내린다다(0.028), 빗줄기(0.025), 무지개(0.015), 빗소리(0.013), 골목(0.013), 올빼미(0.013)"
8,106,8_그녀_골다_나열_골목,"['그녀', '골다', '나열', '골목', '여인', '유방', '안개', '베레모', '머리카락', '빨래']","['그녀 댄다다 그녀 웃다 그녀 눕다 사라진다다 그녀 방 있다 그녀 사직서 냈다 직업 없다 그녀 브로드 웨이 걸다 번가 지나갔다 노점 출다 크루아상 판매 그녀 근처 가게 떨이 나온다 파운드케이크 산다다 그녀 산다다 그녀 웃다 운다다 그녀 작다 담배 있다 그녀 담배 피운다다 그녀 그 때 모서리 있다 그 그녀 있다 방 돌아왔다 우리 맥주 병 럼 병 마시다 아무것 먹다 저녁 먹다 일 맞다 때 아무것 게워다 있다 복날 무더위 개 되다 마음 개다 글 속 마음 속 개 되다 재 된다 짧다 마음 주워야다 그래야다 껍데기 속 그녀 앉다 있다 모두 주인공 모두 꽃목걸이 걸다 그녀 오늘 꽃 목 걸다 흐드러지다 향기 속 환영 보였다 아메리칸드림 이곳 지상 없다 휴가 이번 누가 돌아올까다 오늘 누가 살다 돌아올까다 병 견디다 휴가 계속 휴가 지겹다 지겹다 휴가 날 밤 새다 손가락 까먹다 정도 지겹다 여름 개 지겹다', '나 기차 실려다 풍경 세다 흔들리다 그녀 그녀 팔 다리 떨어져다 나갔다 아다 그녀 물다 기좌 그녀 이웃 지켜보다 가운데 공원묘지 묻혔다 가족 뒷산 묻혀다 그녀 마지막 평화 호텔 돌아오다 길 캄캄하다 길다 그녀 그녀 머리 한다 손 들다 그녀 허공 휘젓다 그녀 다리 여기 허방 걸어서다 마지막 인사 전했다 오늘 달 뜨다 날 그녀 얼굴 나와다 닮다 낯선다 고통 호텔 돌아오다 길 캄캄하다 길다', '눈물 흘릴다 때 푸른다 빛깔 보석 나오다 왕녀 있다 모두 그녀 사랑 모두 그녀 사랑 그녀 밤 슬픈다 꿈 꾸다 낮 눈물 흘리다 없다 슬픔 보석 만들다 상한다 달 빛나다 태양 만들다 그녀 밤 만나다 그 나무 그녀 바라보다 할다 그 꽃 피우다 그 껴안다 그녀 터질다 자신 심장 소리 들다 아침 그녀 침대 앉다 소리내다 울다 그녀 눈 푸른다 보석 바닥 떨어져다 내렸다 모두 그녀 사랑 모두 그녀 사랑 겨울밤 나무 그녀 향해다 손 뻗다 그녀 눈물 닦다 눈 내리다 밤 나무 하얀다 꽃 피웠다 꽃잎 벌판 그 그녀 맴돌다 그녀 자신 눈알 꺼내다 그 발밑 심다 눈부시다 빛나다 그녀 눈알 속 있다 그녀 눈알 속 있다 그녀 태양 보다 되다 아침 되다 그녀 감다 눈 뜨다 움직이다 모두 그녀 사랑 모두 그녀 사랑 그녀 이상 울다 그녀 감은 눈꺼풀 속 검다 깊다 구멍 속 하얀다 꽃잎 흩어져다 내렸다']","그녀(0.140), 골다(0.027), 나열(0.025), 골목(0.020), 여인(0.018), 유방(0.017), 안개(0.015), 베레모(0.015), 머리카락(0.011), 빨래(0.010)"
