work_id,assigned_topic_hard,top1_topic,top1_pct,top2_topic,top2_pct,top3_topic,top3_pct,unexplained_pct
W00142,12,12,40.6,21,7.74,22,3.42,44.84
W00143,21,21,32.94,18,9.91,3,4.58,52.58
W00144,16,16,51.53,0,0.0,22,0.0,48.47
W00145,16,16,43.4,10,8.67,7,0.36,47.45
W00146,-1,21,14.72,3,13.48,22,8.4,52.18
W00147,-1,22,26.19,21,24.43,13,4.69,44.7
W00148,21,21,33.55,13,6.8,3,1.33,57.08
W00149,14,14,26.59,21,20.94,0,0.0,52.47
W00150,21,21,52.37,12,1.93,22,0.0,45.7
W00151,13,13,34.17,8,4.59,12,2.45,56.56
W00152,-1,14,18.46,11,13.32,24,9.38,52.27
W00153,1,1,25.34,17,9.95,16,4.11,53.98
W00154,21,21,55.54,0,0.0,22,0.0,44.46
W00155,23,23,45.7,5,5.55,19,1.75,45.81
W00156,23,23,32.69,11,17.76,8,2.38,46.18
W00157,-1,6,20.52,22,8.52,11,7.43,54.23
W00158,3,6,38.18,19,4.38,3,2.3,54.92
W00159,14,14,36.19,13,8.03,0,0.0,55.78
W00160,0,0,22.01,6,20.86,10,5.16,51.53
W00161,21,21,45.42,10,5.74,9,3.61,43.7
W00162,6,6,34.45,21,23.69,0,0.0,41.86
W00163,-1,6,22.67,13,17.6,21,14.33,45.39
W00164,-1,23,23.02,13,12.66,6,9.65,54.66
W00165,-1,21,26.12,15,7.2,9,4.95,59.85
W00166,0,0,34.51,14,9.25,17,6.74,47.92
W00167,14,14,32.25,21,18.16,0,0.0,49.58
W00168,10,10,29.62,17,12.76,0,1.55,56.07
W00169,21,21,48.3,15,4.72,0,0.0,46.98
W00170,-1,21,23.39,15,23.11,23,4.55,48.95
W00171,9,9,27.49,21,15.45,0,0.0,57.05
W00172,21,21,40.04,5,7.34,0,0.0,52.63
W00173,21,21,44.26,12,7.82,22,0.0,47.92
W00174,-1,21,17.27,9,14.86,20,6.96,51.09
W00175,-1,21,12.41,6,12.26,9,10.3,39.97
W00176,-1,18,14.23,9,9.24,7,7.99,39.21
W00177,-1,1,18.9,12,18.31,4,10.4,38.09
W00178,-1,8,16.28,17,13.5,10,6.48,44.75
W00179,6,6,34.17,23,9.92,1,7.37,45.35
W00180,-1,24,27.15,8,17.79,17,3.94,45.16
W00181,-1,21,16.2,9,11.77,12,9.1,54.02
W00182,7,7,34.16,5,10.46,8,9.33,46.05
W00183,6,6,49.97,14,1.64,18,1.03,47.35
W00184,15,15,29.93,19,9.48,23,8.54,46.17
W00185,-1,8,24.93,1,19.37,0,5.68,46.52
W00186,-1,23,28.94,15,11.39,24,5.59,43.03
W00187,10,10,23.32,0,11.63,14,9.97,55.08
W00188,-1,21,13.77,1,9.47,18,7.35,38.49
W00189,-1,22,13.56,6,10.7,1,7.84,38.26
W00190,12,12,44.42,14,5.09,18,3.47,43.88
W00191,1,1,17.21,2,9.73,24,7.14,43.41
W00192,23,23,39.69,15,7.35,6,5.88,38.1
W00193,1,23,19.83,1,15.99,13,11.69,52.49
W00194,5,5,46.72,0,0.0,22,0.0,53.28
W00195,23,23,39.95,15,5.62,4,4.68,37.87
W00196,5,5,45.64,19,1.4,0,0.0,52.96
W00197,-1,23,15.32,7,14.56,0,13.14,38.39
W00198,-1,4,18.18,13,18.07,17,5.64,43.91
W00199,10,10,27.67,14,12.05,4,7.34,39.91
W00200,0,0,52.9,22,0.0,21,0.0,47.1
W00201,-1,0,19.38,14,14.44,20,4.88,57.49
W00202,-1,14,16.37,20,15.58,0,8.94,55.55
W00203,-1,0,23.34,2,9.33,4,9.25,51.33
W00204,-1,0,18.09,8,11.01,20,9.54,52.62
W00205,-1,1,29.14,0,11.42,22,0.0,59.44
W00206,-1,4,25.18,2,16.24,20,4.26,50.76
W00207,-1,0,20.96,14,17.34,22,0.0,61.7
W00208,0,0,54.06,22,0.0,21,0.0,45.94
W00209,-1,0,25.28,20,16.26,8,2.57,54.27
W00210,0,0,38.27,17,2.54,22,0.0,59.19
W00211,-1,20,31.49,0,10.74,23,10.12,47.65
W00212,-1,1,22.39,20,14.98,2,8.98,46.99
W00213,5,5,24.82,8,9.36,2,8.14,50.67
W00214,1,1,25.14,8,19.33,10,2.96,49.16
